timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1572262118994,20492,https://www.vodafone.com.au/,200,OK,Vodafone_10UserGroup 1-2,text,true,,3473779,15673,10,10,https://www.vodafone.com.au/,396,0,348
1572262118994,799,https://www.vodafone.com.au/-0,200,OK,Vodafone_10UserGroup 1-2,text,true,,192303,375,10,10,https://www.vodafone.com.au/,396,0,348
1572262119796,13627,https://www.vodafone.com.au/-1,200,OK,Vodafone_10UserGroup 1-2,text,true,,667285,405,10,10,https://www.vodafone.com.au/sites/static/seed/seed.min.css,656,0,0
1572262119796,2585,https://www.vodafone.com.au/-2,200,OK,Vodafone_10UserGroup 1-2,text,true,,256013,417,10,10,https://www.vodafone.com.au/sites/static/simplicity/simplicity.min.css,1237,0,637
1572262119799,1437,https://www.vodafone.com.au/-3,200,OK,Vodafone_10UserGroup 1-2,text,true,,62655,407,10,10,https://customer.cludo.com/css/269/1761/cludo-search.min.css,913,0,677
1572262119799,2586,https://www.vodafone.com.au/-4,200,OK,Vodafone_10UserGroup 1-2,bin,true,,303640,403,10,10,https://www.vodafone.com.au/cs/static/mm/img/favicon.ico,1313,0,711
1572262119799,1883,https://www.vodafone.com.au/-5,200,OK,Vodafone_10UserGroup 1-2,text,true,,48564,402,10,10,https://auth.myvodafone.com.au/resources/js/embedded.js,1476,0,1218
1572262119799,2052,https://www.vodafone.com.au/-6,200,OK,Vodafone_10UserGroup 1-2,text,true,,5714,403,10,10,https://www.vodafone.com.au/sites/static/js/aaa_login.js,2052,0,702
1572262121238,3465,https://www.vodafone.com.au/-7,200,OK,Vodafone_10UserGroup 1-2,text,true,,94200,420,10,10,https://www.vodafone.com.au/sites/static/js/libraries/jquery-1.8.3.min.js,2519,0,1498
1572262121683,2380,https://www.vodafone.com.au/-8,200,OK,Vodafone_10UserGroup 1-2,text,true,,80985,423,10,10,https://www.vodafone.com.au/images/0709_GooglePixel4_BannerDesktoplaunch.jpg,1972,0,1591
1572262121851,2805,https://www.vodafone.com.au/-9,200,OK,Vodafone_10UserGroup 1-2,text,true,,47156,424,10,10,https://www.vodafone.com.au/images/mobile/0709_Google-Pixel4_BannerMobile.jpg,2058,0,1787
1572262122382,2866,https://www.vodafone.com.au/-10,200,OK,Vodafone_10UserGroup 1-2,text,true,,77115,416,10,10,https://www.vodafone.com.au/images/0699_iPhone11Pro_BannerDesktop.jpg,1756,0,841
1572262122386,2717,https://www.vodafone.com.au/-11,200,OK,Vodafone_10UserGroup 1-2,text,true,,43227,422,10,10,https://www.vodafone.com.au/images/mobile/0699_iPhone11Pro_BannerMobile.jpg,2522,0,2204
1572262124063,3493,https://www.vodafone.com.au/-12,200,OK,Vodafone_10UserGroup 1-2,text,true,,99710,413,10,10,https://www.vodafone.com.au/images/0699_iPhone11_BannerDesktop.jpg,2281,0,1619
1572262124656,9496,https://www.vodafone.com.au/-13,200,OK,Vodafone_10UserGroup 1-2,text,true,,57599,419,10,10,https://www.vodafone.com.au/images/mobile/0699_iPhone11_BannerMobile.jpg,9247,0,8396
1572262124704,4819,https://www.vodafone.com.au/-14,200,OK,Vodafone_10UserGroup 1-2,text,true,,679679,417,10,10,https://www.vodafone.com.au/images/0700_ATR-Prepaid_Banner-Desktop.jpg,2728,0,2404
1572262125103,2521,https://www.vodafone.com.au/-15,200,OK,Vodafone_10UserGroup 1-2,text,true,,140307,423,10,10,https://www.vodafone.com.au/images/mobile/0700_ATR-Prepaid_Banner-Mobile.jpg,2445,0,807
1572262125249,9528,https://www.vodafone.com.au/-16,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1077,427,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mobilephone.svg,9528,0,4091
